window_start,window_end,metric,successes,failures,ongoing,rate
2021-08-30,2026-08-30,P1SR,9363,24259,30123,0.278478
2021-08-30,2026-08-30,P2SR,26689,33601,64075,0.442677
2021-08-30,2026-08-30,P3SR,30908,12730,20812,0.708282
2021-08-30,2026-08-30,OSR,,,,0.087314
